subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time
0,0,12,1,BR,G,1.0,G_1,,1,2,4,2,3,4,0,1,1,2,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.3333333333333333,1.0,,,1.0,0.6666666666666666,0.5,0.8,0.8,0.1,0.7,1148.699999988079,530.5,,,,,,,,,,530.5,,,
0,0,13,1,BR,S,0.0,S_1,,2,3,4,2,4,4,1,1,1,2,0.3333333333333333,0.3333333333333333,,,0.5,0.3333333333333333,1.0,,,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.6666666666666666,1.0,,,1.0,0.6666666666666666,0.5,0.8,0.8,0.1,0.7,1278.5,773.5999999642372,,,,,,,,,,773.5999999642372,,,
0,0,14,1,BR,S,1.0,S_1,,2,4,4,2,5,4,1,2,1,2,0.3333333333333333,0.3333333333333333,,,0.5,0.6666666666666666,1.0,,,1.0,0.6666666666666666,0.5,0.3333333333333333,0.3333333333333333,,,0.5,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.8,0.8,0.1,0.7,1383.300000011921,1019.0,,,,,,,,,,1019.0,,,
0,0,15,1,BR,G,1.0,G_1,,2,5,4,3,6,4,1,3,1,2,0.3333333333333333,0.3333333333333333,,,0.5,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.6666666666666666,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.8,0.8,0.1,0.7,1061.300000011921,1681.5,,,,,,,,,,1681.5,,,
0,0,16,1,BR,S,0.0,S_1,,1,1,2,1,2,3,0,0,1,1,0.0,0.3333333333333333,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.8,0.1,0.7,750.5,683.1000000238419,,,,,,,,,,683.1000000238419,,,
0,0,17,1,BR,S,1.0,S_1,,1,2,3,1,3,3,0,1,1,1,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.8,0.1,0.7,1537.199999988079,633.6999999880791,,,,,,,,,,633.6999999880791,,,
0,0,18,1,BR,S,0.0,S_1,,1,3,3,1,4,3,0,2,1,1,0.0,0.3333333333333333,,,0.0,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,1.0,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.8,0.1,0.7,707.1999999880791,470.5,,,,,,,,,,470.5,,,
0,0,19,1,HO,C,0.0,C_1,,1,4,3,1,4,4,0,3,1,1,0.0,0.3333333333333333,,,0.0,1.0,1.0,,,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.8,0.8,0.1,0.7,1048.8999999761581,1494.7000000476837,,,,,,,,,,1494.7000000476837,,,
0,0,20,1,HO,C,0.0,C_1,,1,4,4,1,4,5,0,3,1,2,0.0,0.3333333333333333,,,0.0,1.0,1.0,,,1.0,0.6666666666666666,0.5,0.0,0.3333333333333333,,,0.0,1.0,1.0,,,1.0,1.0,0.5,0.8,0.8,0.1,0.7,1116.2999999523163,862.8999999761581,,,,,,,,,,862.8999999761581,,,
0,0,21,1,HO,M,1.0,M_1,,1,4,5,1,4,5,0,3,1,3,0.0,0.3333333333333333,,,0.0,1.0,1.0,,,1.0,1.0,0.5,0.0,0.3333333333333333,,,0.0,1.0,1.0,,,1.0,1.0,0.5,0.8,0.8,0.1,0.7,1190.300000011921,1917.5,,,,,,,,,,1917.5,,,
