subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time
10,0,0,0,BR,M,1,M_1,4,0,0,0,0,0,0,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.8,0.2,0.8,0.2,2.7055229998659343,1.017784500028938,2.3883422631,2.9339266261,,,63.012521099997684,66.46434270008467,69.1698656999506,72.43403190001845,73.45181640004739,1.017784500028938,74.37000890006311,74.73238699999638,74.99817180004902
10,0,1,0,BR,C,1,C_1,4,0,0,0,0,1,1,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.8,0.2,0.8,0.2,2.2880933999549598,0.9491129999514669,0.8800132081,0.7582730852,,,75.9888335999567,77.9187531999778,80.20684659993276,81.30266569997184,82.2517786999233,0.9491129999514669,83.20052720000967,83.56365850009024,83.83294599992223
10,0,2,0,HO,M,1,M_1,2,0,1,1,1,1,2,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,1.2739480000454932,2.041074899956584,1.1350283067,2.6364766878,,,84.81882839999162,87.00586610008031,88.2798141001258,91.24862039997242,93.28969529992901,2.041074899956584,96.31017940002494,96.669781900011,96.93302999995649
10,0,3,0,HO,S,1,S_1,2,1,1,2,1,2,3,0,0,1,1,0.0,0.3333333333333333,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,1.392776499968022,0.9926179000176489,2.5854692842,1.5780911543,,,97.91837630001828,101.55802819994278,102.9508046999108,104.85818119999021,105.85079910000786,0.9926179000176489,109.13210449996404,109.49118110002019,109.74979729996994
10,0,4,0,HO,C,1,C_1,1,1,2,3,1,2,3,0,1,1,1,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,1.227035699877888,0.853801199933514,2.7947617307,2.7807356892,,,110.74570680013858,114.5847774001304,115.8118131000083,118.92700850008987,119.78080970002338,0.853801199933514,120.45526250009425,120.82593000005,121.08522729994729
10,0,5,0,BR,G,1,G_1,2,1,2,3,2,3,3,0,1,1,1,0.0,0.3333333333333333,,,0.0,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,1.006432400085032,0.9862971000839025,3.0135648293,2.8629043447,,,122.068050700007,126.13732960005291,127.14376200013794,130.34335709991865,131.32965420000255,0.9862971000839025,132.28580079996027,132.64398470008746,132.90164069994353
10,0,6,0,BR,S,1,S_1,4,2,3,3,2,4,3,1,1,1,1,0.3333333333333333,0.3333333333333333,,,0.5,0.3333333333333333,1.0,,,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,0.9297617999836802,1.6677602001000196,0.3691589959,2.1749328106,,,140.6804021000862,142.09500390011817,143.02476570010185,145.52297469996847,147.1907349000685,1.6677602001000196,149.4390265000984,149.81294149998575,150.07027320005
10,0,7,0,BR,S,0,S_1,1,2,4,3,2,4,3,1,2,1,1,0.3333333333333333,0.3333333333333333,,,0.5,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,0.9858012998010963,0.7962718999478966,0.6292546392,2.4095899092,,,151.0855527999811,152.77496640011668,153.76076769991778,156.492442100076,157.2887140000239,0.7962718999478966,160.87413550005294,161.2422839999199,161.50456140004098
10,0,8,0,BR,S,1,S_1,3,2,4,3,2,5,3,1,2,1,1,0.3333333333333333,0.3333333333333333,,,0.5,0.6666666666666666,1.0,,,1.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,,,0.5,1.0,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,1.84376659989357,0.7768945000134408,2.6916622733,2.351343682,,,162.4911042000167,166.2350226000417,168.07878919993527,170.77571010007523,171.55260460008867,0.7768945000134408,174.00028560007922,174.34666160005145,174.60595110012218
10,0,9,0,BR,G,1,G_1,3,2,5,3,3,6,3,1,3,1,1,0.3333333333333333,0.3333333333333333,,,0.5,1.0,1.0,,,1.0,0.3333333333333333,0.5,0.6666666666666666,0.3333333333333333,,,1.0,1.0,1.0,,,1.0,0.3333333333333333,0.5,0.8,0.2,0.8,0.2,1.3851104001514614,0.8508603998925537,1.0274592026,1.6333185566,,,175.589361499995,177.67767959996127,179.06279000011273,181.03389750001952,181.88475789991207,0.8508603998925537,184.95797480014153,185.3200058999937,185.57153049996123
