subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time,chosen_goal_value,chosen_goal_progress,chosen_goal_prob,chosen_goal_perseveration,SH_prob,HO_prob,BR_prob,SH_value,HO_value,BR_value,SH_pers,HO_pers,BR_pers,alt_goal_value,alt_goal_selected,alt_goal_progress,chosen_goal_progress_rate,alt_goal_progress_rate,alt_goal_prob,goal_switch,goal_stay,G_value,C_value,S_value,M_value,chosen_subgoal_progress,chosen_subgoal_prob,alt_subgoal_prob,chosen_subgoal_value,alt_subgoal_value,alt_subgoal_selected,chosen_subgoal_perseveration,chosen_goal_delta,chosen_subgoal_delta,switching_costs,momentum_advantage,run_num
0,0,0,1,HO,M,1.0,M_1,,0,0,0,1,0,1,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.25,0.25,0.25,0.25,1061.7000000476837,1323.1000000238419,,,,,,,,,,1323.1000000238419,,,,0.2,0.0,0.3333333333333333,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.5,0.5,0.5,0.2,SH,0.0,0.5,0.5,0.3333333333333333,1.0,0.0,,0.2,0.2,0.2,0.0,0.25,0.25,0.2,0.2,G,0.55,-0.046957941059384,0.04306679949391956,,,1
0,0,1,1,HO,M,0.0,M_1,,1,0,1,1,0,1,0,0,1,0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.17092399723110496,0.1790563842528371,0.4832049036530728,0.1790563842528371,1102.5,1137.300000011921,,,,,,,,,,1137.300000011921,,,,0.24392519794895734,0.16666666666666666,0.559202177942381,0.5006938275008482,0.22425382288745913,0.559202177942381,0.21654399917015985,0.24392519794895734,0.24392519794895734,0.2,0.45,0.55,0.45,0.24392519794895734,SH,0.16666666666666666,0.5,0.5,0.22425382288745913,0.0,1.0,,0.2,0.2,0.4861426039289471,0.5,0.6257904648588165,0.18710476757059175,0.4861426039289471,0.2,C,0.5950000000000001,-0.11216938199034879,-0.22355343318528192,0.23792476871788437,0.0,1
0,0,2,1,BR,G,1.0,G_1,,1,0,1,2,1,1,0,0,1,0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.0,0.0,,,0.0,0.0,0.5,0.3010411217098755,0.2425026381020441,0.22610757146758595,0.2425026381020441,708.0999999642372,897.0,,,,,,,,,,897.0,,,,0.2,0.0,0.2302539355835273,0.4986133077915053,0.2207674476288532,0.5489786167876195,0.2302539355835273,0.1471753278677645,0.1471753278677645,0.2,0.405,0.5950000000000001,0.405,0.1471753278677645,SH,0.16666666666666666,0.5,0.4843108318787255,0.5489786167876195,1.0,0.0,0.2,0.2,0.2,,0.0,0.3333333333333333,0.3333333333333333,0.2,0.2,C,0.4645,-0.046957941059384,0.04306679949391956,0.23861763342553077,0.0,1
0,0,3,1,HO,G,1.0,G_1,,2,1,1,3,2,1,1,0,1,0,0.3333333333333333,0.3333333333333333,,,0.5,0.0,0.0,,,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.28517348961741446,0.22073195824826958,0.28562688998137437,0.22073195824826958,934.6000000238419,779.6999999880791,,,,,,,,,,779.6999999880791,,,,0.1471753278677645,0.16666666666666666,0.21177920250705662,0.5006909404572675,0.22203717946673285,0.21177920250705662,0.5661836180262105,0.20656366423500044,0.1471753278677645,0.24392519794895734,0.36450000000000005,0.5355000000000001,0.4645,0.24392519794895734,BR,0.16666666666666666,0.4843108318787255,0.5,0.5661836180262105,1.0,0.0,,0.2,0.2,0.2516289156726159,0.5,0.6257904648588165,0.18710476757059175,0.4861426039289471,0.2,M,0.51805,,,0.23654000075976866,0.0,1
0,0,4,1,SH,G,1.0,G_1,,3,2,1,4,2,1,2,0,1,0,0.6666666666666666,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.3670327122284103,0.19177532677987064,0.2672855251586671,0.19177532677987064,1043.3999999761581,1041.4000000357628,,,,,,,,,,1041.4000000357628,,,,0.23610971406719797,0.5,0.22928184554377945,0.4972304614135728,0.22928184554377945,0.5355815816398821,0.23513657281633846,0.23610971406719797,0.1471753278677645,0.26776780115180593,0.32805000000000006,0.5819500000000001,0.41805000000000003,0.26776780115180593,BR,0.3333333333333333,0.4664826006466995,0.4906067268215024,0.5355815816398821,1.0,0.0,0.5694759372622804,,,0.18392982822303797,0.6666666666666666,0.6564538432190886,0.34354615678091144,0.5694759372622804,0.18392982822303797,M,0.566245,-0.06658044446526348,-0.17184965568865984,0.23861475038817048,-0.12059247328404143,1
0,0,5,1,HO,G,1.0,G_1,,4,2,1,4,2,1,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.01,0.293008720319264,0.41403510409374,0.293008720319264,1266.8999999761581,1135.0,,,,,,,,,,1135.0,,,,0.1471753278677645,0.16666666666666666,0.21280664808770489,0.5006880614205683,0.5529333932878322,0.21280664808770489,0.23425995862446292,0.23935578594290424,0.1471753278677645,0.26776780115180593,0.39524500000000007,0.5237550000000001,0.37624500000000005,0.26776780115180593,BR,0.3333333333333333,0.4843108318787255,0.4906067268215024,0.5529333932878322,1.0,0.0,,0.2,0.2,0.2516289156726159,1.0,0.01,0.97,,0.18392982822303797,M,0.6096205,,,0.23515907329552904,-0.028412015208901686,1
0,0,6,1,SH,S,0.0,S_1,,4,2,1,4,2,1,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.010000000000000002,0.19151513383296576,0.6303710242644782,0.19151513383296576,589.1000000238419,793.8999999761581,,,,,,,,,,793.8999999761581,,,,0.23935578594290424,0.6666666666666666,0.229582330126923,0.49723717961552877,0.229582330126923,0.535580866519355,0.23483680335372203,0.23935578594290424,0.1471753278677645,0.26776780115180593,0.35572050000000005,0.5713795,0.33862050000000005,0.26776780115180593,BR,0.3333333333333333,0.43854471505967063,0.4906067268215024,0.535580866519355,1.0,0.0,,,,0.18392982822303797,0.0,0.5,0.5,0.2,0.2,M,0.33914845000000005,,,0.23861187534658101,-0.12059247328404143,1
0,0,7,1,SH,C,1.0,C_1,,4,2,1,4,3,2,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.010000000000000002,0.18147786245599168,0.633464675460053,0.18147786245599168,1044.199999988079,853.3999999761581,,,,,,,,,,853.3999999761581,,,,0.23935578594290424,0.6666666666666666,0.5754163987119174,0.49793484095790236,0.5754163987119174,0.20686968909037304,0.21771391219770955,0.23935578594290424,0.08880008016849725,0.15294970431831736,0.42014845000000006,0.51424155,0.30475845,0.15294970431831736,BR,0.3333333333333333,0.43854471505967063,0.45616129777145586,0.21771391219770955,0.0,1.0,,,,0.18392982822303797,0.0,0.5,0.5,0.2,0.2,M,0.31523360500000003,,,0.2351657821749385,0.08640608162458688,1
0,0,8,1,BR,C,1.0,C_1,,4,3,2,4,3,3,3,0,1,1,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.009999999999999998,0.6168225117013045,0.2993736283088733,0.0925039950945592,1463.5999999642372,1570.800000011921,,,,,,,,,,1570.800000011921,,,,0.2003201645218229,0.5,0.21947707830659488,0.49585431726823,0.5663446942069273,0.21417822748647777,0.21947707830659488,0.23935578594290424,0.16963538050976062,0.2003201645218229,0.4781336050000001,0.462817395,0.274282605,0.23935578594290424,SH,0.6666666666666666,0.44797374841191195,0.43854471505967063,0.5663446942069273,1.0,0.0,,,0.2,,1.0,0.01,1.0,,0.2,S,0.3837102445,,,0.23586247540406086,0.0,1
0,0,9,1,HO,M,0.0,M_1,,4,3,3,4,3,3,3,0,1,2,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.009999999999999998,0.35942260309216145,0.38593623077627015,0.2569745885502323,1154.5,505.39999997615814,,,,,,,,,,505.39999997615814,,,,0.21432217740366416,0.5,0.22250909755520581,0.4992965978637593,0.22699008314733274,0.22250909755520581,0.5505008192974614,0.23935578594290424,0.21432217740366416,0.2003201645218229,0.43032024450000006,0.41653565550000005,0.3468543445,0.23935578594290424,SH,0.6666666666666666,0.465255403006399,0.43854471505967063,0.5505008192974614,1.0,0.0,,0.5333333333333333,0.2,0.2516289156726159,0.5,0.28393386668566883,0.4557153858569955,0.2516289156726159,0.5333333333333333,S,0.3561279899500001,-0.09855638691016039,-0.11571194857779785,0.2337848387634926,-0.03903562142108133,1
