subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time,chosen_goal_value,chosen_goal_progress,chosen_goal_prob,chosen_goal_perseveration,SH_prob,HO_prob,BR_prob,SH_value,HO_value,BR_value,alt_goal_value,alt_goal_selected,alt_goal_progress,alt_goal_prob,goal_switch,goal_stay,G_value,C_value,S_value,M_value,chosen_subgoal_progress,chosen_subgoal_prob,alt_subgoal_prob,chosen_subgoal_value,alt_subgoal_value,alt_subgoal_selected,chosen_subgoal_perseveration,chosen_goal_delta,chosen_subgoal_delta,run_num
10,0,0,0,SH,G,1.0,G_1,4,0,0,0,1,1,0,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.3333333333333333,0.0,,,0.5,0.0,0.0,,,0.0,0.0,0.0,0.25,0.25,0.25,0.25,2.7055229998659343,1.017784500028938,2.3883422631,2.9339266261,,,63.012521099997684,66.46434270008467,69.1698656999506,72.43403190001845,73.45181640004739,1.017784500028938,74.37000890006311,74.73238699999638,74.99817180004902,0.10441338276518647,0.0,0.2945365155067795,0.33,0.2945365155067795,0.4109269689864411,0.2945365155067795,0.10441338276518647,0.1540954927575326,0.10441338276518647,0.1540954927575326,HO,0.0,0.4109269689864411,1.0,0.0,0.3682612869699557,,,0.4215192988437284,0.0,0.25,0.25,0.29397510513708586,0.1463577027318735,C,0.325,,,1
10,0,1,0,SH,G,1.0,G_1,4,1,1,0,2,2,0,1,0,0,0,0.3333333333333333,0.0,,,0.5,0.0,0.0,,,0.0,0.0,0.0,0.6666666666666666,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.46017348927208446,0.055740742539596225,0.17601268010092302,0.05641018165991596,2.2880933999549598,0.9491129999514669,0.8800132081,0.7582730852,,,75.9888335999567,77.9187531999778,80.20684659993276,81.30266569997184,82.2517786999233,0.9491129999514669,83.20052720000967,83.56365850009024,83.83294599992223,0.1463577027318735,0.16666666666666666,0.37536115383076984,0.397,0.37536115383076984,0.1919376301499038,0.4327012160193264,0.1463577027318735,0.10441338276518647,0.22568643130744614,0.22568643130744614,BR,0.16666666666666666,0.4327012160193264,0.0,1.0,0.5930546270973521,,,0.26704114819709635,0.3333333333333333,0.6896309551609738,0.31036904483902616,0.5930546270973521,0.3682612869699557,M,0.3925,,,1
10,0,2,0,SH,G,1.0,G_1,2,2,2,0,3,2,0,2,0,0,0,0.6666666666666666,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.6009635681667627,0.21729606192616474,0.0269320780465893,0.13550672202591826,1.2739480000454932,2.041074899956584,1.1350283067,2.6364766878,,,84.81882839999162,87.00586610008031,88.2798141001258,91.24862039997242,93.28969529992901,2.041074899956584,96.31017940002494,96.669781900011,96.93302999995649,0.16269713261994753,0.3333333333333333,0.6033395807926134,0.45730000000000004,0.6033395807926134,0.19555276740735736,0.20110765180002926,0.16269713261994753,0.10829280628733608,0.11247162967352219,0.11247162967352219,BR,0.3333333333333333,0.20110765180002926,0.0,1.0,0.5930546270973521,,,0.1540954927575326,0.6666666666666666,0.9539053450233609,0.046094654976639116,0.7445502709193793,0.22568643130744614,S,0.45325000000000004,,,1
10,0,3,0,SH,M,1.0,M_1,2,3,2,0,4,2,1,3,0,0,0,1.0,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.01,0.04618444693658001,0.8020782073977559,0.15599044125066097,1.392776499968022,0.9926179000176489,2.5854692842,1.5780911543,,,97.91837630001828,101.55802819994278,102.9508046999108,104.85818119999021,105.85079910000786,0.9926179000176489,109.13210449996404,109.49118110002019,109.74979729996994,0.10441338276518647,0.5,0.3371854528710931,0.5115700000000001,0.3371854528710931,0.43116427595115264,0.23165027117775416,0.10441338276518647,0.22568643130744614,0.13300064655928376,0.22568643130744614,HO,0.0,0.43116427595115264,0.0,1.0,,,,0.1831433232459991,0.0,0.97,0.01,0.29397510513708586,,C,0.264025,,,1
10,0,4,0,SH,M,1.0,M_1,1,4,2,1,5,2,2,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.6666666666666666,,,1.0,0.0,0.0,,,0.0,0.0,1.0,0.01,0.019139334009484553,0.9062891246523903,0.06276820714582738,1.227035699877888,0.853801199933514,2.7947617307,2.7807356892,,,110.74570680013858,114.5847774001304,115.8118131000083,118.92700850008987,119.78080970002338,0.853801199933514,120.45526250009425,120.82593000005,121.08522729994729,0.4927861128665001,0.6666666666666666,0.8894275530237303,0.560413,0.8894275530237303,0.07398509475876239,0.03658735221750728,0.4927861128665001,0.20946710884973146,0.10441338276518647,0.20946710884973146,HO,0.16666666666666666,0.07398509475876239,0.0,1.0,,,,0.4215192988437284,0.3333333333333333,0.97,0.01,0.4927861128665001,,C,0.33762250000000005,,,1
10,0,5,0,SH,M,1.0,M_1,2,5,2,2,6,2,2,3,0,2,0,1.0,0.6666666666666666,,,1.0,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,,,0.0,0.0,1.0,0.01,0.05604005316921819,0.8310106744439217,0.1256539196939449,1.006432400085032,0.9862971000839025,3.0135648293,2.8629043447,,,122.068050700007,126.13732960005291,127.14376200013794,130.34335709991865,131.32965420000255,0.9862971000839025,132.28580079996027,132.64398470008746,132.90164069994353,0.7445502709193793,0.8333333333333334,0.9728994371351607,0.6043717000000001,0.9728994371351607,0.018395642716135405,0.008704920148703901,0.7445502709193793,0.24462833523322158,0.13300064655928376,0.24462833523322158,HO,0.3333333333333333,0.018395642716135405,0.0,1.0,,,,0.7445502709193793,0.6666666666666666,0.97,0.01,0.7445502709193793,,C,0.40386025000000003,,,1
10,0,6,0,SH,,,,,6,2,2,0,0,0,3,0,3,0,1.0,1.0,,,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,,,,,2.7695459055,,,,133.90164069994353,137.57118660544353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,0,7,0,HO,C,1.0,C_1,4,0,0,0,0,1,1,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.4662658127766922,0.18140782173095774,0.3993833149353357,0.10280077295641839,0.9297617999836802,1.6677602001000196,0.3691589959,2.1749328106,,,140.6804021000862,142.09500390011817,143.02476570010185,145.52297469996847,147.1907349000685,1.6677602001000196,149.4390265000984,149.81294149998575,150.07027320005,0.1218777101489689,0.0,0.08401030858691665,0.17537553000000003,0.8215350282648172,0.08401030858691665,0.09445466314826619,0.32695168023146803,0.1218777101489689,0.13935985190106354,0.32695168023146803,SH,0.0,0.8215350282648172,1.0,0.0,,0.29397510513708586,0.7445502709193793,0.5930546270973521,0.0,0.04343104036725559,0.4782844798163722,0.26704114819709635,0.5930546270973521,G,0.219574225,,,1
10,0,8,0,HO,C,0.0,C_1,1,0,1,1,0,1,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.3543136216841807,0.07446593051136247,0.42974850184625846,0.028201835758649273,0.9858012998010963,0.7962718999478966,0.6292546392,2.4095899092,,,151.0855527999811,152.77496640011668,153.76076769991778,156.492442100076,157.2887140000239,0.7962718999478966,160.87413550005294,161.2422839999199,161.50456140004098,0.20946710884973146,0.16666666666666666,0.3355557293431004,0.257837977,0.4606412742098543,0.3355557293431004,0.20380299644704525,0.29397510513708586,0.20946710884973146,0.17231583549705934,0.29397510513708586,SH,0.0,0.4606412742098543,0.0,1.0,,0.4927861128665001,0.3682612869699557,0.5930546270973521,0.3333333333333333,0.2766349658373852,0.48937406877322726,0.5930546270973521,0.5930546270973521,M,0.2976168025,,,1
10,0,9,0,BR,G,1.0,G_1,3,0,1,1,1,2,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,,,0.5,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.4705531308477592,0.15455946586034724,0.29883640192321675,0.017301101645892773,1.84376659989357,0.7768945000134408,2.6916622733,2.351343682,,,162.4911042000167,166.2350226000417,168.07878919993527,170.77571010007523,171.55260460008867,0.7768945000134408,174.00028560007922,174.34666160005145,174.60595110012218,0.20946710884973146,0.16666666666666666,0.2403878490002451,0.14205417930000003,0.5283383978046124,0.2312737531951424,0.2403878490002451,0.32695168023146803,0.1540954927575326,0.20946710884973146,0.32695168023146803,SH,0.0,0.5283383978046124,1.0,0.0,0.5930546270973521,,0.1831433232459991,,0.0,0.9372238974676288,0.06277610253237123,0.5930546270973521,0.22568643130744614,M,0.34087563325000003,,,1
