subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time,chosen_goal_value,chosen_goal_progress,chosen_goal_prob,chosen_goal_perseveration,SH_prob,HO_prob,BR_prob,SH_value,HO_value,BR_value,alt_goal_value,alt_goal_selected,alt_goal_progress,alt_goal_prob,goal_switch,goal_stay,G_value,C_value,S_value,M_value,chosen_subgoal_progress,chosen_subgoal_prob,alt_subgoal_prob,chosen_subgoal_value,alt_subgoal_value,alt_subgoal_selected,chosen_goal_delta,chosen_subgoal_delta,run_num
0,0,0,1,HO,M,1.0,M_1,,0,0,0,1,0,1,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.25,0.25,0.25,0.25,1061.7000000476837,1323.1000000238419,,,,,,,,,,1323.1000000238419,,,,0.26955006167446977,0.0,0.536880620949615,0.33,0.2315596895251926,0.536880620949615,0.2315596895251926,0.18127512550909097,0.26955006167446977,0.18127512550909097,0.18127512550909097,SH,0.0,0.2315596895251926,1.0,0.0,,0.26955006167446977,0.47985694892121844,0.7345821491333825,0.0,0.25,0.25,0.47985694892121844,0.3808172307645863,G,,,1
0,0,1,1,HO,M,0.0,M_1,,1,0,1,1,0,1,0,0,1,0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.018454578487604033,0.7322028406364445,0.6091388282083141,0.028584732576643887,1102.5,1137.300000011921,,,,,,,,,,1137.300000011921,,,,0.26955006167446977,0.16666666666666666,0.3413414069774642,0.954329334657978,0.5940960137710896,0.3413414069774642,0.06456257925144626,0.4415764609721172,0.26955006167446977,0.208601020616797,0.4415764609721172,SH,0.16666666666666666,0.5940960137710896,0.0,1.0,,0.22560518367426077,0.5805056002887159,0.7345821491333825,0.5,0.6760239138109918,0.2933312576774179,0.8469845599418723,0.7345821491333825,S,,,1
0,0,2,1,BR,G,1.0,G_1,,1,0,1,2,1,1,0,0,1,0,0.0,0.3333333333333333,,,0.0,0.0,0.0,,,0.0,0.0,0.5,0.3333333333333333,0.3333333333333333,,,0.5,0.0,0.0,,,0.0,0.0,0.5,0.29804377099851415,0.05971816220114402,0.42507311445265955,0.4753364137850892,708.0999999642372,897.0,,,,,,,,,,897.0,,,,0.18127512550909097,0.0,0.09639111091246307,0.0015333419292011055,0.1351725421711571,0.7684363469163799,0.09639111091246307,0.21677014794263247,0.23519100993423375,0.18127512550909097,0.23519100993423375,HO,0.16666666666666666,0.7684363469163799,1.0,0.0,0.3347560764462778,0.8469845599418723,0.29863512997767355,,0.0,0.10476791879685586,0.7650253934109791,0.35630418499197536,0.5805056002887159,C,,,1
0,0,3,1,HO,G,1.0,G_1,,2,1,1,3,2,1,1,0,1,0,0.3333333333333333,0.3333333333333333,,,0.5,0.0,0.0,,,0.0,0.0,0.5,0.6666666666666666,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.42333846029198435,0.17511137718325706,0.059989881583103095,0.0391999886583297,934.6000000238419,779.6999999880791,,,,,,,,,,779.6999999880791,,,,0.1874127031848104,0.16666666666666666,0.02399861590812197,0.0679529638307459,0.09767454138008475,0.02399861590812197,0.8783268427117933,0.3347560764462778,0.1874127031848104,0.4415764609721172,0.4415764609721172,BR,0.16666666666666666,0.8783268427117933,1.0,0.0,,0.18127512550909097,0.8469845599418723,0.6485180196248335,0.5,0.042578769946622026,0.9473333125905254,0.5254045352578242,0.8469845599418723,S,,,1
0,0,4,1,SH,G,1.0,G_1,,3,2,1,4,2,1,2,0,1,0,0.6666666666666666,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.8859840069484937,0.035947925883237364,0.07031005408448807,0.040924466381444535,1043.3999999761581,1041.4000000357628,,,,,,,,,,1041.4000000357628,,,,0.5805056002887159,0.5,0.8910367620403461,7.124659005594447e-06,0.8910367620403461,0.07575501690414416,0.03320822105550975,0.5805056002887159,0.21677014794263247,0.23519100993423375,0.23519100993423375,BR,0.3333333333333333,0.07575501690414416,1.0,0.0,0.8469845599418723,,,0.4089523709334725,0.6666666666666666,0.8532035308341884,0.1467964691658116,0.8469845599418723,0.6485180196248335,M,,,1
0,0,5,1,HO,G,1.0,G_1,,4,2,1,4,2,1,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.01,0.46686980254357185,0.28616579172614703,0.2625526451076573,1266.8999999761581,1135.0,,,,,,,,,,1135.0,,,,0.3347560764462778,0.16666666666666666,0.10862509577574565,0.06383442427182928,0.7229150918936015,0.10862509577574565,0.16845981233065283,0.3808172307645863,0.3347560764462778,0.3808172307645863,0.3808172307645863,SH,0.6666666666666666,0.7229150918936015,1.0,0.0,,0.26955006167446977,0.8469845599418723,0.6485180196248335,1.0,0.01,0.9940626836063239,,0.8469845599418723,S,,,1
0,0,6,1,SH,S,0.0,S_1,,4,2,1,4,2,1,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.01,0.010321566972801807,0.995909668250973,0.012451514826711457,589.1000000238419,793.8999999761581,,,,,,,,,,793.8999999761581,,,,0.4089523709334725,0.6666666666666666,0.6079626198487116,0.06351871456238445,0.6079626198487116,0.3136066876250267,0.0784306925262617,0.4089523709334725,0.22560518367426077,0.19398045543122014,0.22560518367426077,HO,0.16666666666666666,0.3136066876250267,1.0,0.0,,,,0.5254045352578242,0.0,0.8823599672842581,0.09218168597856913,0.7345821491333825,0.47985694892121844,M,,,1
0,0,7,1,SH,C,1.0,C_1,,4,2,1,4,3,2,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,0.01,0.0102574113581147,0.9691110261816108,0.010889439776775159,1044.199999988079,853.3999999761581,,,,,,,,,,853.3999999761581,,,,0.6485180196248335,0.6666666666666666,0.9926142929536778,0.9361645919607645,0.9926142929536778,0.004620905244079445,0.0027648018022427986,0.6485180196248335,0.23519100993423375,0.18127512550909097,0.23519100993423375,HO,0.16666666666666666,0.004620905244079445,0.0,1.0,,,,0.5254045352578242,0.0,0.012594484144099864,0.9770016674413792,0.35630418499197536,0.8469845599418723,M,,,1
0,0,8,1,BR,C,1.0,C_1,,4,3,2,4,3,3,3,0,1,1,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.3333333333333333,0.5,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.01,0.06551907153385841,0.907597905529947,0.016666181271107073,1463.5999999642372,1570.800000011921,,,,,,,,,,1570.800000011921,,,,0.18127512550909097,0.5,0.0013846864890382634,1.3715142625369543e-06,0.994379876873809,0.0042354366371527155,0.0013846864890382634,0.7345821491333825,0.29863512997767355,0.18127512550909097,0.7345821491333825,SH,0.6666666666666666,0.994379876873809,1.0,0.0,,,0.18127512550909097,,1.0,0.01,1.0,,0.22560518367426077,M,,,1
0,0,9,1,HO,M,0.0,M_1,,4,3,3,4,3,3,3,0,1,2,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,1.0,0.3333333333333333,,,1.0,0.0,1.0,,,0.0,0.6666666666666666,0.5,0.01,0.016499618991016655,0.9144492479208548,0.21781641955623257,1154.5,505.39999997615814,,,,,,,,,,505.39999997615814,,,,0.18127512550909097,0.5,0.04532541413982638,0.0002965171396134853,0.7791965624075409,0.04532541413982638,0.17547802345263272,0.47985694892121844,0.18127512550909097,0.21677014794263247,0.47985694892121844,SH,0.6666666666666666,0.7791965624075409,1.0,0.0,,0.8469845599418723,0.18127512550909097,0.6485180196248335,0.5,0.48596847905825563,0.48596847905825563,0.8469845599418723,0.8469845599418723,C,,,1
