subject_id,block_num,trial_num,block_type,goal_selected,subgoal_selected,action_outcome,alien_selected,key_selected,SH_progress,BR_progress,HO_progress,SH_progress_post,BR_progress_post,HO_progress_post,G_status,S_status,M_status,C_status,G_progress_SH,M_progress_SH,C_progress_SH,S_progress_SH,G_progress_BR,S_progress_BR,C_progress_BR,M_progress_BR,G_progress_HO,S_progress_HO,C_progress_HO,M_progress_HO,G_progress_post_SH,M_progress_post_SH,C_progress_post_SH,S_progress_post_SH,G_progress_post_BR,S_progress_post_BR,C_progress_post_BR,M_progress_post_BR,G_progress_post_HO,S_progress_post_HO,C_progress_post_HO,M_progress_post_HO,G_prob,S_prob,M_prob,C_prob,goal_rt,subgoal_rt,goal_onset_jitter,action_onset_jitter,trial_start_time,resource_status_onset_time,goal_progress_onset_time,goal_onset_time,goal_probe_end_time,action_onset_time,action_end_time,action_rt,outcome_onset_time,resource_stack_onset_time,trial_end_time,chosen_goal_value,chosen_goal_progress,chosen_goal_prob,chosen_goal_perseveration,SH_prob,HO_prob,BR_prob,SH_value,HO_value,BR_value,SH_pers,HO_pers,BR_pers,alt_goal_value,alt_goal_selected,alt_goal_progress,chosen_goal_progress_rate,alt_goal_progress_rate,alt_goal_prob,goal_switch,goal_stay,G_value,C_value,S_value,M_value,chosen_subgoal_progress,chosen_subgoal_prob,alt_subgoal_prob,chosen_subgoal_value,alt_subgoal_value,alt_subgoal_selected,chosen_subgoal_perseveration,chosen_goal_delta,chosen_subgoal_delta,run_num
10,0,0,0,SH,G,1.0,G_1,4,0,0,0,1,1,0,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.3333333333333333,0.0,,,0.5,0.0,0.0,,,0.0,0.0,0.0,0.25,0.25,0.25,0.25,2.7055229998659343,1.017784500028938,2.3883422631,2.9339266261,,,63.012521099997684,66.46434270008467,69.1698656999506,72.43403190001845,73.45181640004739,1.017784500028938,74.37000890006311,74.73238699999638,74.99817180004902,0.2,0.0,0.3333333333333333,0.33,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.33,0.33,0.33,0.2,HO,0.0,0.5,0.5,0.3333333333333333,1.0,0.0,0.2,,,0.2,0.0,0.25,0.25,0.2,0.2,C,0.325,0.029809646153348496,0.0974007185513922,1
10,0,1,0,SH,G,1.0,G_1,4,1,1,0,2,2,0,1,0,0,0,0.3333333333333333,0.0,,,0.5,0.0,0.0,,,0.0,0.0,0.0,0.6666666666666666,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.4551402224288393,0.08365369123813989,0.39502514993209104,0.08365369123813989,2.2880933999549598,0.9491129999514669,0.8800132081,0.7582730852,,,75.9888335999567,77.9187531999778,80.20684659993276,81.30266569997184,82.2517786999233,0.9491129999514669,83.20052720000967,83.56365850009024,83.83294599992223,0.2924177969213433,0.16666666666666666,0.7241863884748165,0.397,0.7241863884748165,0.08066038615737829,0.19515322536780516,0.2924177969213433,0.2,0.2924177969213433,0.397,0.29700000000000004,0.29700000000000004,0.2924177969213433,BR,0.16666666666666666,0.5,0.5,0.19515322536780516,0.0,1.0,0.39634945043988956,,,0.2,0.3333333333333333,0.5067401997333936,0.49325980026660643,0.39634945043988956,0.2,M,0.3925,0.012351265262943834,0.060308907151486624,1
10,0,2,0,SH,G,1.0,G_1,2,2,2,0,3,2,0,2,0,0,0,0.6666666666666666,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.44856381764041126,0.1250423153572756,0.32097496342208565,0.1250423153572756,1.2739480000454932,2.041074899956584,1.1350283067,2.6364766878,,,84.81882839999162,87.00586610008031,88.2798141001258,91.24862039997242,93.28969529992901,2.041074899956584,96.31017940002494,96.669781900011,96.93302999995649,0.3797242807212278,0.3333333333333333,0.7472754837210102,0.45730000000000004,0.7472754837210102,0.03843988974314866,0.21428462653584118,0.3797242807212278,0.2,0.3797242807212278,0.45730000000000004,0.26730000000000004,0.26730000000000004,0.3797242807212278,BR,0.3333333333333333,0.5006273395473502,0.5006273395473502,0.21428462653584118,0.0,1.0,0.5854794452914123,,,0.2,0.6666666666666666,0.5928782762230453,0.40712172377695466,0.5854794452914123,0.2,M,0.45325000000000004,-0.004056747023375051,0.026237251968476816,1
10,0,3,0,SH,M,1.0,M_1,2,3,2,0,4,2,1,3,0,0,0,1.0,0.0,,,1.0,0.0,0.0,,,0.0,0.0,0.0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,0.009999999999999998,0.07036461652723956,0.8516714499403042,0.07036461652723956,1.392776499968022,0.9926179000176489,2.5854692842,1.5780911543,,,97.91837630001828,101.55802819994278,102.9508046999108,104.85818119999021,105.85079910000786,0.9926179000176489,109.13210449996404,109.49118110002019,109.74979729996994,0.46171983218812584,0.5,0.8693710125654825,0.5115700000000001,0.8693710125654825,0.019868922683776255,0.1107600647507412,0.46171983218812584,0.2,0.3797242807212278,0.5115700000000001,0.24057000000000003,0.24057000000000003,0.3797242807212278,BR,0.3333333333333333,0.5002152428451615,0.5006273395473502,0.1107600647507412,0.0,1.0,,,,0.2,0.0,0.97,0.01,0.2,,C,0.264025,-0.01960199954013897,0.0974007185513922,1
10,0,4,0,SH,M,1.0,M_1,1,4,2,1,5,2,2,3,0,1,0,1.0,0.3333333333333333,,,1.0,0.0,0.0,,,0.0,0.0,0.5,1.0,0.6666666666666666,,,1.0,0.0,0.0,,,0.0,0.0,1.0,0.01,0.03879444851962871,0.9135586122796138,0.03879444851962871,1.227035699877888,0.853801199933514,2.7947617307,2.7807356892,,,110.74570680013858,114.5847774001304,115.8118131000083,118.92700850008987,119.78080970002338,0.853801199933514,120.45526250009425,120.82593000005,121.08522729994729,0.5371241163793912,0.6666666666666666,0.9323020581567353,0.560413,0.9323020581567353,0.020489330937210573,0.047208610906054146,0.5371241163793912,0.2924177969213433,0.3797242807212278,0.560413,0.21651300000000004,0.21651300000000004,0.3797242807212278,BR,0.3333333333333333,0.49722839673906344,0.5006273395473502,0.047208610906054146,0.0,1.0,,,,0.39634945043988956,0.3333333333333333,0.97,0.01,0.39634945043988956,,C,0.33762250000000005,-0.03425017481146864,0.060308907151486624,1
10,0,5,0,SH,M,1.0,M_1,2,5,2,2,6,2,2,3,0,2,0,1.0,0.6666666666666666,,,1.0,0.0,0.0,,,0.0,0.0,1.0,1.0,1.0,,,1.0,0.0,0.0,,,0.0,0.0,1.0,0.009999999999999998,0.02808986693918766,0.93455862803751,0.02808986693918766,1.006432400085032,0.9862971000839025,3.0135648293,2.8629043447,,,122.068050700007,126.13732960005291,127.14376200013794,130.34335709991865,131.32965420000255,0.9862971000839025,132.28580079996027,132.64398470008746,132.90164069994353,0.6037590767949574,0.8333333333333334,0.9630699935017148,0.6043717000000001,0.9630699935017148,0.018465003249142575,0.018465003249142575,0.6037590767949574,0.3797242807212278,0.3797242807212278,0.6043717000000001,0.19486170000000003,0.19486170000000003,0.3797242807212278,HO,0.3333333333333333,0.490269922864373,0.5006273395473502,0.018465003249142575,0.0,1.0,,,,0.5854794452914123,0.6666666666666666,0.97,0.01,0.5854794452914123,,C,0.40386025000000003,-0.0477786554456513,0.026237251968476816,1
10,0,6,0,SH,,,,,6,2,2,0,0,0,3,0,3,0,1.0,1.0,,,1.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.8,0.2,0.8,0.2,,,2.7695459055,,,,133.90164069994353,137.57118660544353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
10,0,7,0,HO,C,1.0,C_1,4,0,0,0,0,1,1,0,0,0,0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.13490410905936942,0.2858358660476581,0.3046579832660817,0.2858358660476581,0.9297617999836802,1.6677602001000196,0.3691589959,2.1749328106,,,140.6804021000862,142.09500390011817,143.02476570010185,145.52297469996847,147.1907349000685,1.6677602001000196,149.4390265000984,149.81294149998575,150.07027320005,0.2128485008721111,0.0,0.15376534852798918,0.17537553000000003,0.6924693029440216,0.15376534852798918,0.15376534852798918,0.18064030429060943,0.2128485008721111,0.2128485008721111,0.6439345300000001,0.17537553000000003,0.17537553000000003,0.2128485008721111,BR,0.0,0.5006273395473502,0.5006273395473502,0.6924693029440216,1.0,0.0,,0.2,0.2,0.25605765005519343,0.0,0.3246592987495229,0.3506814025009543,0.2,0.25605765005519343,M,0.219574225,0.027467277818601893,0.0974007185513922,1
10,0,8,0,HO,C,0.0,C_1,1,0,1,1,0,1,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.13924166163625498,0.2973303374454481,0.25059939759612176,0.3253890767669346,0.9858012998010963,0.7962718999478966,0.6292546392,2.4095899092,,,151.0855527999811,152.77496640011668,153.76076769991778,156.492442100076,157.2887140000239,0.7962718999478966,160.87413550005294,161.2422839999199,161.50456140004098,0.30465701968374914,0.16666666666666666,0.7087446322807861,0.257837977,0.0681657631201706,0.7087446322807861,0.2230896045990433,0.18064030429060943,0.30465701968374914,0.30465701968374914,0.5795410770000001,0.257837977,0.15783797700000002,0.30465701968374914,BR,0.16666666666666666,0.5006273395473502,0.5006273395473502,0.2230896045990433,0.0,1.0,,0.39634945043988956,0.2,0.25605765005519343,0.3333333333333333,0.43393702667109496,0.29393720387839645,0.39634945043988956,0.25605765005519343,S,0.2976168025,-0.05755188359555105,-0.07487323764460074,1
10,0,9,0,BR,G,1.0,G_1,3,0,1,1,1,2,1,0,0,0,1,0.0,0.0,,,0.0,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,,,0.5,0.0,1.0,,,0.0,0.3333333333333333,0.0,0.4219239977447592,0.40731115097727,0.09505836221004643,0.09382096734462711,1.84376659989357,0.7768945000134408,2.6916622733,2.351343682,,,162.4911042000167,166.2350226000417,168.07878919993527,170.77571010007523,171.55260460008867,0.7768945000134408,174.00028560007922,174.34666160005145,174.60595110012218,0.30465701968374914,0.16666666666666666,0.22230201837912933,0.14205417930000003,0.06792511355785748,0.7097728680630132,0.22230201837912933,0.18064030429060943,0.28663094222112595,0.30465701968374914,0.5215869693000001,0.33205417930000003,0.14205417930000003,0.28663094222112595,HO,0.16666666666666666,0.5006273395473502,0.4977041918507086,0.7097728680630132,1.0,0.0,0.25605765005519343,,0.2,,0.0,0.5192659080840591,0.4807340919159409,0.25605765005519343,0.2,S,0.34087563325000003,0.010123993908018825,0.15904839872074022,1
